Timestamp,Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [1 (наиболее)],Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [2],Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [3],Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [4],Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [5 (наименее предпочительно)],"Пожалуйста, объясните, почему вы выбрали именно такой ответ. На каких метриках (перечислите 3-5) вы основывались?",Выберите не менее 2 вариантов:,Ваше полное имя:,Ваша рабочая должность или компания:,Ваш опыт работы:,Сколько багов вы зарепортили за последний год?,"Куда направить результаты наших исследований? (Телеграм, почта и т.д.)"
11/19/2023 20:15:29,SWXMLHash,libexpat,Fuzi,quick-xml,xgen,"Первое на что стоит смотреть это колличество звезд. Показывает насколько интересна библиотека другим разработчикам. Так же колличество закрытых багов. А вот колличество строк не всегда хороший вариант, так как сложность поддержки. И при смене логики может быть проблемой.","Прочитать руководство пользователя, возможно, что-то делаете не так, Лучше объяснить, как баг воспроизвести, Укажите его приоритет и степень серьезности",,iOS разработчик X5 Group,Более 5 лет,10-25,
11/19/2023 20:20:21,libexpat,SWXMLHash,xgen,Fuzi,quick-xml,"На количестве закрытых багов, дате последнего релиза и количестве контрибуторов. Чем больше исправленных багов и чем меньше дней назад состоялся релиз - тем лучше качество. Отсутствие исправленных багов говорит о том, что на качество библиотеки положен болт. Софта без ошибок не бывает.","Избавиться от лишнего 3-минутного видеоролика, Лучше объяснить, как баг воспроизвести",,МТС,,,
11/19/2023 21:44:55,xgen,Fuzi,libexpat,quick-xml,SWXMLHash,"Количество звёзд, форумов, контрибуторов - активность комьюнити
Количество строк кода - тяжесть библиотеки","Укажите его приоритет и степень серьезности, Лучше объяснить, как баг воспроизвести",,,,,
11/20/2023 13:28:47,libexpat,quick-xml,SWXMLHash,xgen,Fuzi,"Основные параметры - количество котрибутеров, дата последнего комита, количество звезд,  ","Избавиться от лишнего 3-минутного видеоролика, Укажите его приоритет и степень серьезности",,Mobile Head ,> 10 лет,,
11/20/2023 15:17:10,libexpat,quick-xml,SWXMLHash,Fuzi,xgen,"Так как мы ищем более качественный продукт, для нас важно, чтобы его поддерживала команда разработчиков. Последние две либы имеют много контрибьюторов, а разработка продолжается, судя по последним коммитам. При этом проекты активно форкают, что вероятно понадобится и нам. 
Важен так же день релиза, более молодой проект вероятно будет проще поддерживать, если мы хотим вести работу над форком. xgen и Fuzi смущают малым количеством баг репортов","Укажите его приоритет и степень серьезности, Прочитать руководство пользователя, возможно, что-то делаете не так, Лучше объяснить, как баг воспроизвести",,Разработчик в Яндексе ,"1,5 года",Где-то до 100 - это часть моей работы),
11/20/2023 16:22:06,libexpat,quick-xml,SWXMLHash,Fuzi,xgen,"Популярность, кол-во контрибуторов и форков, свежесть коммитов и язык","Укажите его приоритет и степень серьезности, Лучше объяснить, как баг воспроизвести, Прочитать руководство пользователя, возможно, что-то делаете не так",,Руководитель службы,Более 10 лет,,
11/24/2023 13:45:48,libexpat,quick-xml,xgen,SWXMLHash,Fuzi,"Язык программирования (как будет на андроиде свифт работать?), Last commit, Contributors, Number of closed PRs","Избавиться от лишнего 3-минутного видеоролика, Укажите его приоритет и степень серьезности, Вместо этого отправить сообщение в чат проекта, чтобы быстрее решить проблему",,Яндекс.Технологии,0,2,
11/28/2023 14:23:46,SWXMLHash,xgen,Fuzi,libexpat,quick-xml,"Stars, Programming language, Contributors","Лучше объяснить, как баг воспроизвести, Избавиться от лишнего 3-минутного видеоролика",,intern flutter developer,1 month,1,
11/29/2023 19:37:27,quick-xml,libexpat,xgen,SWXMLHash,Fuzi,"Наиболее важным для меня была активность репозитория (видно, что quick-xml и libexpat активно поддерживаются, последний коммит был недавно, и достаточно много закрытых баг репортов). Но quick-xml имеет преимущество над libexpat, т.к. во-первых она написана на более безопасном языке, во-вторых кодоая база libexpat очень сильно раздута. ","Избавиться от лишнего 3-минутного видеоролика, Прочитать руководство пользователя, возможно, что-то делаете не так, Лучше объяснить, как баг воспроизвести",,Embedded Developer,2 года,"В opensource 0 xD; По работе 2-5, наверное, наберется",
12/1/2023 23:43:44,quick-xml,libexpat,SWXMLHash,xgen,Fuzi,"Язык разработки, дата последнего коммита, дата релиза, количество контрибьюторов и количество закрытых багов. Сначала нужно определить требуемый язык. После мне важно, чтобы проект был активно поддерживаемым на момент его выбора.","Прочитать руководство пользователя, возможно, что-то делаете не так, Укажите его приоритет и степень серьезности, Избавиться от лишнего 3-минутного видеоролика, Вместо этого отправить сообщение в чат проекта, чтобы быстрее решить проблему, Лучше объяснить, как баг воспроизвести",,,,,
